timestamp,CH1,CH2,CH3,CH4
2026-03-31T00:19:13.557560,0.039,0.0,0.0,0.23
2026-03-31T00:19:13.557806,0.039,0.0,0.0,0.228
2026-03-31T00:19:13.557906,0.044,0.0,0.0,0.23
2026-03-31T00:19:13.557973,0.043,0.0,0.0,0.229
2026-03-31T00:19:13.558032,0.039,0.0,0.0,0.227
2026-03-31T00:19:13.558095,0.041,0.0,0.0,0.227
2026-03-31T00:19:13.558153,0.045,0.0,0.0,0.229
2026-03-31T00:19:13.558211,0.049,0.0,0.0,0.23
2026-03-31T00:19:13.558266,0.047,0.0,0.0,0.231
2026-03-31T00:19:13.558321,0.043,0.0,0.0,0.23
2026-03-31T00:19:13.558374,0.046,0.0,0.002,0.218
2026-03-31T00:19:13.558426,0.05,0.0,0.0,0.232
2026-03-31T00:19:13.558476,0.05,0.0,0.0,0.223
2026-03-31T00:19:13.558524,0.051,0.0,0.0,0.226
2026-03-31T00:19:13.558573,0.048,0.0,0.0,0.227
2026-03-31T00:19:13.558621,0.048,0.0,0.0,0.226
2026-03-31T00:19:13.558674,0.047,0.0,0.0,0.225
2026-03-31T00:19:13.558723,0.044,0.0,0.0,0.225
2026-03-31T00:19:13.558771,0.052,0.0,0.0,0.22
2026-03-31T00:19:13.558823,0.054,0.0,0.0,0.223
2026-03-31T00:19:13.558876,0.051,0.0,0.0,0.227
2026-03-31T00:19:13.558931,0.065,0.0,0.0,0.223
2026-03-31T00:19:13.558992,0.066,0.0,0.0,0.228
2026-03-31T00:19:13.559047,0.048,0.0,0.0,0.224
2026-03-31T00:19:13.559094,0.052,0.0,0.0,0.227
2026-03-31T00:19:13.559142,0.05,0.0,0.008,0.219
2026-03-31T00:19:13.559194,0.055,0.0,0.003,0.229
2026-03-31T00:19:13.559244,0.052,0.0,0.0,0.229
2026-03-31T00:19:13.559292,0.058,0.0,0.005,0.227
2026-03-31T00:19:13.559340,0.048,0.0,0.0,0.224
2026-03-31T00:19:13.559387,0.055,0.0,0.0,0.23
2026-03-31T00:19:13.559435,0.057,0.0,0.0,0.23
2026-03-31T00:19:13.559483,0.054,0.0,0.0,0.227
2026-03-31T00:19:13.559531,0.06,0.0,0.004,0.227
2026-03-31T00:19:13.559579,0.06,0.0,0.0,0.229
2026-03-31T00:19:13.559626,0.063,0.0,0.002,0.228
2026-03-31T00:19:13.559676,0.06,0.0,0.0,0.225
2026-03-31T00:19:13.559724,0.06,0.0,0.002,0.228
2026-03-31T00:19:13.559771,0.06,0.0,0.0,0.23
2026-03-31T00:19:13.559820,0.059,0.0,0.001,0.229
2026-03-31T00:19:13.559869,0.047,0.0,0.0,0.227
2026-03-31T00:19:13.559918,0.06,0.0,0.002,0.222
2026-03-31T00:19:13.559966,0.064,0.0,0.0,0.227
2026-03-31T00:19:13.560013,0.065,0.0,0.0,0.223
2026-03-31T00:19:13.560059,0.064,0.0,0.002,0.225
2026-03-31T00:19:13.560106,0.043,0.0,0.0,0.225
2026-03-31T00:19:13.560155,0.06,0.001,0.001,0.226
2026-03-31T00:19:13.560202,0.064,0.0,0.003,0.224
2026-03-31T00:19:13.560250,0.063,0.0,0.002,0.224
2026-03-31T00:19:13.560298,0.065,0.0,0.013,0.221
2026-03-31T00:19:13.560346,0.068,0.0,0.011,0.225
2026-03-31T00:19:13.560396,0.064,0.0,0.006,0.223
2026-03-31T00:19:13.560458,0.064,0.0,0.006,0.223
2026-03-31T00:19:13.560513,0.073,0.0,0.005,0.222
2026-03-31T00:19:13.560561,0.068,0.0,0.008,0.221
2026-03-31T00:19:13.560609,0.07,0.004,0.003,0.222
2026-03-31T00:19:13.560657,0.068,0.002,0.006,0.224
2026-03-31T00:19:13.560705,0.075,0.007,0.014,0.223
