time_ms,device_time_ms,ecg,upper,lower
130,,421,3000,1000
130,,432,3000,1000
130,,443,3000,1000
130,,402,3000,1000
130,,439,3000,1000
130,,443,3000,1000
130,,432,3000,1000
130,,432,3000,1000
130,,432,3000,1000
130,,443,3000,1000
171,,441,3000,1000
171,,438,3000,1000
171,,442,3000,1000
171,,438,3000,1000
171,,433,3000,1000
171,,439,3000,1000
171,,451,3000,1000
171,,441,3000,1000
171,,439,3000,1000
171,,433,3000,1000
208,,436,3000,1000
208,,433,3000,1000
208,,401,3000,1000
208,,441,3000,1000
208,,394,3000,1000
208,,419,3000,1000
208,,441,3000,1000
208,,441,3000,1000
208,,433,3000,1000
208,,439,3000,1000
224,,443,3000,1000
224,,528,3000,1000
224,,443,3000,1000
225,,437,3000,1000
225,,447,3000,1000
225,,442,3000,1000
225,,443,3000,1000
225,,436,3000,1000
225,,440,3000,1000
225,,429,3000,1000
247,,454,3000,1000
248,,441,3000,1000
248,,441,3000,1000
248,,414,3000,1000
248,,442,3000,1000
248,,434,3000,1000
248,,445,3000,1000
248,,450,3000,1000
248,,439,3000,1000
248,,436,3000,1000
266,,445,3000,1000
266,,436,3000,1000
266,,440,3000,1000
266,,438,3000,1000
266,,437,3000,1000
266,,451,3000,1000
266,,433,3000,1000
266,,437,3000,1000
266,,442,3000,1000
266,,437,3000,1000
284,,439,3000,1000
284,,444,3000,1000
284,,441,3000,1000
284,,439,3000,1000
284,,410,3000,1000
284,,448,3000,1000
284,,439,3000,1000
285,,442,3000,1000
285,,442,3000,1000
285,,446,3000,1000
302,,442,3000,1000
302,,445,3000,1000
302,,448,3000,1000
302,,439,3000,1000
302,,466,3000,1000
302,,441,3000,1000
302,,448,3000,1000
302,,445,3000,1000
302,,437,3000,1000
302,,449,3000,1000
318,,438,3000,1000
318,,434,3000,1000
318,,435,3000,1000
318,,439,3000,1000
318,,438,3000,1000
318,,445,3000,1000
318,,440,3000,1000
319,,453,3000,1000
319,,439,3000,1000
319,,439,3000,1000
334,,438,3000,1000
334,,443,3000,1000
334,,449,3000,1000
334,,474,3000,1000
334,,437,3000,1000
334,,453,3000,1000
334,,440,3000,1000
334,,437,3000,1000
334,,435,3000,1000
334,,442,3000,1000
350,,448,3000,1000
350,,454,3000,1000
350,,469,3000,1000
350,,450,3000,1000
350,,442,3000,1000
350,,445,3000,1000
350,,442,3000,1000
350,,441,3000,1000
350,,438,3000,1000
350,,437,3000,1000
366,,441,3000,1000
366,,439,3000,1000
366,,438,3000,1000
366,,433,3000,1000
366,,443,3000,1000
366,,431,3000,1000
366,,441,3000,1000
366,,445,3000,1000
366,,430,3000,1000
366,,451,3000,1000
382,,448,3000,1000
382,,437,3000,1000
382,,442,3000,1000
382,,443,3000,1000
382,,446,3000,1000
382,,451,3000,1000
382,,448,3000,1000
382,,442,3000,1000
382,,437,3000,1000
382,,443,3000,1000
398,,447,3000,1000
398,,433,3000,1000
398,,443,3000,1000
398,,425,3000,1000
398,,456,3000,1000
398,,443,3000,1000
398,,446,3000,1000
398,,442,3000,1000
398,,442,3000,1000
398,,432,3000,1000
415,,418,3000,1000
415,,443,3000,1000
415,,434,3000,1000
415,,438,3000,1000
415,,447,3000,1000
415,,442,3000,1000
415,,462,3000,1000
415,,437,3000,1000
415,,501,3000,1000
415,,443,3000,1000
431,,466,3000,1000
431,,439,3000,1000
431,,439,3000,1000
432,,510,3000,1000
432,,451,3000,1000
432,,445,3000,1000
432,,432,3000,1000
432,,444,3000,1000
432,,442,3000,1000
432,,435,3000,1000
448,,439,3000,1000
448,,431,3000,1000
448,,416,3000,1000
448,,443,3000,1000
448,,441,3000,1000
448,,437,3000,1000
448,,462,3000,1000
448,,442,3000,1000
448,,442,3000,1000
448,,441,3000,1000
464,,459,3000,1000
464,,439,3000,1000
464,,459,3000,1000
464,,445,3000,1000
464,,439,3000,1000
464,,437,3000,1000
464,,441,3000,1000
464,,442,3000,1000
464,,442,3000,1000
464,,438,3000,1000
480,,447,3000,1000
480,,439,3000,1000
480,,470,3000,1000
480,,402,3000,1000
480,,437,3000,1000
480,,437,3000,1000
480,,442,3000,1000
480,,439,3000,1000
480,,438,3000,1000
480,,442,3000,1000
497,,440,3000,1000
497,,439,3000,1000
497,,438,3000,1000
497,,423,3000,1000
497,,437,3000,1000
497,,442,3000,1000
497,,467,3000,1000
497,,439,3000,1000
497,,439,3000,1000
497,,438,3000,1000
513,,439,3000,1000
513,,439,3000,1000
513,,439,3000,1000
513,,443,3000,1000
513,,439,3000,1000
513,,443,3000,1000
