timestamp,CH1,CH2,CH3,CH4
2026-03-31T00:05:19.720081,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.730593,0.001,0.0,0.0,0.083
2026-03-31T00:05:19.749264,0.001,0.0,0.0,0.082
2026-03-31T00:05:19.749340,0.005,0.0,0.0,0.087
2026-03-31T00:05:19.749393,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.749445,0.01,0.0,0.0,0.082
2026-03-31T00:05:19.749632,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.764136,0.008,0.0,0.0,0.083
2026-03-31T00:05:19.764233,0.0,0.0,0.0,0.085
2026-03-31T00:05:19.764288,0.0,0.0,0.0,0.085
2026-03-31T00:05:19.764339,0.013,0.0,0.0,0.081
2026-03-31T00:05:19.764396,0.0,0.0,0.0,0.09
2026-03-31T00:05:19.764459,0.001,0.0,0.0,0.079
2026-03-31T00:05:19.764525,0.001,0.0,0.0,0.081
2026-03-31T00:05:19.764574,0.002,0.0,0.0,0.087
2026-03-31T00:05:19.764622,0.002,0.0,0.0,0.085
2026-03-31T00:05:19.764675,0.008,0.0,0.0,0.077
2026-03-31T00:05:19.764868,0.003,0.0,0.0,0.085
2026-03-31T00:05:19.765152,0.0,0.0,0.0,0.083
2026-03-31T00:05:19.765445,0.006,0.0,0.0,0.094
2026-03-31T00:05:19.765647,0.005,0.0,0.0,0.085
2026-03-31T00:05:19.765904,0.002,0.0,0.0,0.081
2026-03-31T00:05:19.765980,0.0,0.0,0.0,0.077
2026-03-31T00:05:19.766041,0.009,0.0,0.0,0.081
2026-03-31T00:05:19.766313,0.001,0.0,0.0,0.079
2026-03-31T00:05:19.766419,0.01,0.0,0.0,0.08
2026-03-31T00:05:19.766640,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.766711,0.002,0.0,0.0,0.079
2026-03-31T00:05:19.766949,0.002,0.0,0.0,0.078
2026-03-31T00:05:19.767054,0.013,0.0,0.0,0.081
2026-03-31T00:05:19.767159,0.001,0.0,0.0,0.081
2026-03-31T00:05:19.767249,0.003,0.0,0.0,0.083
2026-03-31T00:05:19.767310,0.002,0.0,0.0,0.083
2026-03-31T00:05:19.767368,0.003,0.0,0.0,0.09
2026-03-31T00:05:19.767425,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.767481,0.0,0.0,0.0,0.089
2026-03-31T00:05:19.767537,0.006,0.0,0.0,0.081
2026-03-31T00:05:19.767592,0.004,0.0,0.0,0.09
2026-03-31T00:05:19.767647,0.0,0.0,0.0,0.078
2026-03-31T00:05:19.767703,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.767758,0.0,0.0,0.0,0.069
2026-03-31T00:05:19.767812,0.0,0.0,0.0,0.079
2026-03-31T00:05:19.767861,0.007,0.0,0.0,0.085
2026-03-31T00:05:19.767910,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.767958,0.006,0.0,0.0,0.081
2026-03-31T00:05:19.768004,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.768054,0.002,0.0,0.0,0.084
2026-03-31T00:05:19.768103,0.001,0.0,0.0,0.086
2026-03-31T00:05:19.768152,0.003,0.0,0.0,0.081
2026-03-31T00:05:19.768202,0.005,0.0,0.0,0.082
2026-03-31T00:05:19.768252,0.0,0.0,0.0,0.079
2026-03-31T00:05:19.768301,0.003,0.0,0.0,0.081
2026-03-31T00:05:19.768354,0.015,0.0,0.0,0.08
2026-03-31T00:05:19.768476,0.004,0.0,0.0,0.085
2026-03-31T00:05:19.768583,0.0,0.0,0.0,0.079
2026-03-31T00:05:19.768706,0.002,0.0,0.0,0.077
2026-03-31T00:05:19.768774,0.006,0.0,0.0,0.081
2026-03-31T00:05:19.768845,0.0,0.0,0.0,0.085
2026-03-31T00:05:19.768899,0.006,0.0,0.0,0.081
2026-03-31T00:05:19.768949,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.768999,0.0,0.0,0.0,0.08
2026-03-31T00:05:19.769049,0.0,0.0,0.0,0.075
2026-03-31T00:05:19.769097,0.004,0.0,0.0,0.077
2026-03-31T00:05:19.769558,0.0,0.0,0.0,0.081
2026-03-31T00:05:19.772353,0.009,0.0,0.0,0.081
2026-03-31T00:05:19.772421,0.003,0.0,0.0,0.081
2026-03-31T00:05:19.775071,0.0,0.0,0.0,0.086
