time_ms,device_time_ms,ecg,upper,lower
191,,0,1000,
191,,4,3000,1000
191,,1,3000,1000
191,,34,3000,1000
191,,0,3000,1000
191,,0,3000,1000
191,,0,3000,1000
191,,12,3000,1000
191,,0,3000,1000
191,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
238,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
274,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
291,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,0,3000,1000
314,,17,3000,1000
332,,9,3000,1000
332,,68,3000,1000
332,,0,3000,1000
332,,43,3000,1000
332,,0,3000,1000
332,,6,3000,1000
332,,0,3000,1000
332,,0,3000,1000
332,,0,3000,1000
332,,1,3000,1000
350,,29,3000,1000
350,,0,3000,1000
350,,0,3000,1000
350,,19,3000,1000
350,,0,3000,1000
350,,0,3000,1000
350,,0,3000,1000
350,,0,3000,1000
350,,63,3000,1000
350,,0,3000,1000
367,,7,3000,1000
367,,0,3000,1000
367,,48,3000,1000
368,,0,3000,1000
368,,0,3000,1000
368,,0,3000,1000
368,,0,3000,1000
368,,0,3000,1000
368,,0,3000,1000
368,,0,3000,1000
384,,60,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,0,3000,1000
384,,18,3000,1000
384,,0,3000,1000
400,,16,3000,1000
400,,0,3000,1000
400,,53,3000,1000
400,,0,3000,1000
400,,0,3000,1000
400,,0,3000,1000
400,,17,3000,1000
400,,0,3000,1000
400,,0,3000,1000
401,,17,3000,1000
417,,4,3000,1000
417,,0,3000,1000
417,,0,3000,1000
417,,19,3000,1000
417,,31,3000,1000
417,,0,3000,1000
417,,0,3000,1000
417,,29,3000,1000
417,,9,3000,1000
417,,0,3000,1000
433,,7,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
433,,0,3000,1000
450,,16,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
450,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
466,,0,3000,1000
467,,0,3000,1000
467,,0,3000,1000
467,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,13,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
483,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
500,,0,3000,1000
516,,5,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
516,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
533,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
549,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
565,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
581,,0,3000,1000
582,,0,3000,1000
582,,0,3000,1000
582,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
598,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
615,,0,3000,1000
631,,0,3000,1000
631,,0,3000,1000
631,,0,3000,1000
631,,21,3000,1000
631,,0,3000,1000
631,,0,3000,1000
631,,0,3000,1000
631,,23,3000,1000
631,,0,3000,1000
631,,32,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,12,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,0,3000,1000
649,,0,3000,1000
665,,0,3000,1000
665,,47,3000,1000
665,,0,3000,1000
665,,0,3000,1000
665,,0,3000,1000
665,,0,3000,1000
666,,0,3000,1000
666,,0,3000,1000
666,,64,3000,1000
666,,0,3000,1000
682,,0,3000,1000
682,,0,3000,1000
682,,23,3000,1000
682,,0,3000,1000
682,,0,3000,1000
682,,0,3000,1000
682,,0,3000,1000
682,,0,3000,1000
682,,0,3000,1000
