timestamp,voltage
2026-03-17T03:25:15.311321,0.0
2026-03-17T03:25:15.313565,0.0
2026-03-17T03:25:15.313610,0.0
2026-03-17T03:25:15.393019,0.0
2026-03-17T03:25:15.402276,0.0
2026-03-17T03:25:15.402329,0.0
2026-03-17T03:25:15.402380,0.0
2026-03-17T03:25:15.402415,0.0
2026-03-17T03:25:15.402441,0.0
2026-03-17T03:25:15.402463,0.0
2026-03-17T03:25:15.402488,0.0
2026-03-17T03:25:15.402510,0.0
2026-03-17T03:25:15.402541,0.0
2026-03-17T03:25:15.402590,0.0
2026-03-17T03:25:15.402616,0.0
2026-03-17T03:25:15.402666,0.0
2026-03-17T03:25:15.402691,0.0
2026-03-17T03:25:15.402712,0.0
2026-03-17T03:25:15.408783,0.0
2026-03-17T03:25:15.408808,0.0
2026-03-17T03:25:15.408827,0.0
2026-03-17T03:25:15.408845,0.0
2026-03-17T03:25:15.408861,0.0
2026-03-17T03:25:15.408877,0.0
2026-03-17T03:25:15.408892,0.0
2026-03-17T03:25:15.408908,0.0
2026-03-17T03:25:15.408924,0.0
2026-03-17T03:25:15.408940,0.0
2026-03-17T03:25:15.408955,0.0
2026-03-17T03:25:15.408971,0.0
2026-03-17T03:25:15.408988,0.0
2026-03-17T03:25:15.409052,0.0
2026-03-17T03:25:15.409078,0.0
2026-03-17T03:25:15.409113,0.0
2026-03-17T03:25:15.409139,0.0
2026-03-17T03:25:15.409168,0.0
2026-03-17T03:25:15.409195,0.0
2026-03-17T03:25:15.409224,0.0
2026-03-17T03:25:15.409245,0.0
2026-03-17T03:25:15.409312,0.0
2026-03-17T03:25:15.409335,0.0
2026-03-17T03:25:15.409372,0.0
2026-03-17T03:25:15.409394,0.0
2026-03-17T03:25:15.409434,0.0
2026-03-17T03:25:15.409459,0.0
2026-03-17T03:25:15.409620,0.0
2026-03-17T03:25:15.409660,0.0
2026-03-17T03:25:15.409691,0.0
2026-03-17T03:25:15.409745,0.0
2026-03-17T03:25:15.409807,0.0
2026-03-17T03:25:15.409846,0.0
2026-03-17T03:25:15.409877,0.0
2026-03-17T03:25:15.409930,0.0
2026-03-17T03:25:15.409971,0.0
2026-03-17T03:25:15.410018,0.0
2026-03-17T03:25:15.410049,0.0
2026-03-17T03:25:15.410074,0.0
2026-03-17T03:25:15.410101,0.0
2026-03-17T03:25:15.410127,0.0
2026-03-17T03:25:15.410158,0.0
2026-03-17T03:25:15.410246,0.0
2026-03-17T03:25:15.410285,0.0
2026-03-17T03:25:15.410334,0.0
2026-03-17T03:25:15.410358,0.0
2026-03-17T03:25:15.410395,0.0
2026-03-17T03:25:15.410427,0.0
2026-03-17T03:25:15.410456,0.0
2026-03-17T03:25:15.410485,0.0
2026-03-17T03:25:15.410513,0.0
2026-03-17T03:25:15.410557,0.0
2026-03-17T03:25:15.410596,0.0
2026-03-17T03:25:15.410635,0.0
2026-03-17T03:25:15.410668,0.0
2026-03-17T03:25:15.410693,0.0
2026-03-17T03:25:15.410739,0.0
2026-03-17T03:25:15.410760,0.0
2026-03-17T03:25:15.410889,0.0
2026-03-17T03:25:15.410913,0.0
2026-03-17T03:25:15.410945,0.0
2026-03-17T03:25:15.410977,0.0
2026-03-17T03:25:15.411010,0.006
2026-03-17T03:25:15.411035,0.0
2026-03-17T03:25:15.411065,0.0
2026-03-17T03:25:15.411120,0.0
2026-03-17T03:25:15.411179,0.0
2026-03-17T03:25:15.411242,0.0
2026-03-17T03:25:15.411341,0.0
2026-03-17T03:25:15.411363,0.0
2026-03-17T03:25:15.411506,0.0
2026-03-17T03:25:15.411531,0.0
2026-03-17T03:25:15.411656,0.0
2026-03-17T03:25:15.411683,0.0
2026-03-17T03:25:15.411718,0.0
2026-03-17T03:25:15.411843,0.0
2026-03-17T03:25:15.411983,0.0
2026-03-17T03:25:15.412011,0.0
2026-03-17T03:25:15.412050,0.0
2026-03-17T03:25:15.412074,0.0
2026-03-17T03:25:15.412175,0.0
2026-03-17T03:25:15.412220,0.0
2026-03-17T03:25:15.412959,0.0
2026-03-17T03:25:15.412990,0.0
2026-03-17T03:25:15.415850,0.0
2026-03-17T03:25:15.415876,0.0
2026-03-17T03:25:15.416754,0.0
2026-03-17T03:25:15.416780,0.0
2026-03-17T03:25:15.418697,0.0
2026-03-17T03:25:15.418736,0.0
2026-03-17T03:25:15.419413,0.0
2026-03-17T03:25:15.421286,0.0
2026-03-17T03:25:15.421319,0.0
2026-03-17T03:25:15.436413,0.0
2026-03-17T03:25:15.436461,0.0
2026-03-17T03:25:15.436483,0.0
2026-03-17T03:25:15.436503,0.0
2026-03-17T03:25:15.436521,0.0
2026-03-17T03:25:15.436540,0.0
2026-03-17T03:25:15.436558,0.0
2026-03-17T03:25:15.436576,0.0
2026-03-17T03:25:15.436594,0.0
2026-03-17T03:25:15.436612,0.0
2026-03-17T03:25:15.436701,0.0
2026-03-17T03:25:15.436734,0.0
2026-03-17T03:25:15.436757,0.0
2026-03-17T03:25:15.436776,0.0
2026-03-17T03:25:15.436794,0.0
2026-03-17T03:25:15.437320,0.0
2026-03-17T03:25:15.438311,0.0
2026-03-17T03:25:15.439326,0.0
2026-03-17T03:25:15.440296,0.0
2026-03-17T03:25:15.441372,0.0
2026-03-17T03:25:15.442420,0.0
2026-03-17T03:25:15.443384,0.0
2026-03-17T03:25:15.444382,0.0
2026-03-17T03:25:15.445386,0.0
2026-03-17T03:25:15.446350,0.0
2026-03-17T03:25:15.447387,0.0
2026-03-17T03:25:15.448341,0.0
2026-03-17T03:25:15.449341,0.0
2026-03-17T03:25:15.450323,0.0
2026-03-17T03:25:15.451292,0.0
2026-03-17T03:25:15.452356,0.0
2026-03-17T03:25:15.453479,0.0
2026-03-17T03:25:15.454385,0.0
2026-03-17T03:25:15.455404,0.0
2026-03-17T03:25:15.456388,0.0
2026-03-17T03:25:15.457357,0.0
2026-03-17T03:25:15.458286,0.0
2026-03-17T03:25:15.459289,0.0
2026-03-17T03:25:15.460300,0.0
2026-03-17T03:25:15.461357,0.0
2026-03-17T03:25:15.462344,0.0
2026-03-17T03:25:15.463327,0.0
2026-03-17T03:25:15.465920,0.0
2026-03-17T03:25:15.465971,0.0
2026-03-17T03:25:15.466380,0.0
2026-03-17T03:25:15.467384,0.0
2026-03-17T03:25:15.468398,0.0
2026-03-17T03:25:15.469509,0.0
2026-03-17T03:25:15.471193,0.0
2026-03-17T03:25:15.471866,0.0
2026-03-17T03:25:15.472284,0.0
2026-03-17T03:25:15.473297,0.0
2026-03-17T03:25:15.474301,0.0
2026-03-17T03:25:15.475285,0.0
2026-03-17T03:25:15.476310,0.0
2026-03-17T03:25:15.477285,0.0
2026-03-17T03:25:15.478290,0.0
2026-03-17T03:25:15.479321,0.0
2026-03-17T03:25:15.480324,0.0
