time_s,rms,mean_freq,median_freq,band_power
0.18,0.8922114986215778,19.92901041614725,20.661157024793386,0.4201552201861521
0.212,1.197872872668401,20.12405400114924,20.661157024793386,0.7643247656861457
0.232,1.5921534594685667,20.281663076619335,20.661157024793386,1.1697203459820391
0.252,1.7932754226794536,20.130520110594937,20.661157024793386,1.482815414255007
0.261,1.8115283065024295,19.93484413707522,20.661157024793386,1.7395696270959669
0.278,2.0100542903789194,20.0828810280879,20.661157024793386,2.085423715218969
0.296,2.3067542743882985,20.240316626713746,20.661157024793386,2.396664439032059
0.314,2.321695976004609,20.06234149145886,20.661157024793386,2.5203929482384275
0.331,2.247890725594677,19.92306747319741,20.661157024793386,2.716710102015158
0.356,2.5276996823723445,20.149254980945845,20.661157024793386,3.185951202431993
0.365,2.82453434097824,20.265484775064333,20.661157024793386,3.574924770860906
0.379,2.748530253858454,20.07202118908678,20.661157024793386,3.610470311354602
0.395,2.581771268298938,19.967704781885512,20.661157024793386,3.561220800646448
0.411,2.66492445106282,20.187116783671105,20.661157024793386,3.5575291747143085
0.426,2.67936712895465,20.36209968400497,20.661157024793386,3.261054476002443
0.444,2.341549935571094,20.257770535245708,20.661157024793386,2.5380501034400065
0.46,1.8483532970028367,20.041083282970348,20.661157024793386,1.723013199222875
0.477,1.493198142000439,20.050611459318716,20.661157024793386,1.1001767828601958
0.494,1.2313015810521832,20.30468765589169,20.661157024793386,0.6640407093807726
0.527,0.9206764220125929,20.552220005284358,20.661157024793386,0.352923911469721
0.544,0.617510349390684,20.733159433902422,20.661157024793386,0.1669680712771355
0.559,0.4562600943253403,20.7934236605495,20.661157024793386,0.09675974827291
0.575,0.4576900840611748,20.534220995804436,20.661157024793386,0.09670224833751369
0.588,0.4986845655874071,20.209219930982883,20.661157024793386,0.11876722089806735
0.597,0.5149414980360768,20.03280916778877,20.661157024793386,0.13797786739863183
0.612,0.5344437407045386,20.129606877154004,20.661157024793386,0.1481221616196993
0.627,0.5504569485975765,20.324516858839093,20.661157024793386,0.14180838501095963
0.643,0.5024164423438066,20.308206020147622,20.661157024793386,0.11375006880630287
0.658,0.39454568409416546,20.05082635441341,20.661157024793386,0.07670289915323672
0.68,0.3071913784533818,19.93323235278346,20.661157024793386,0.048140548175388057
0.696,0.26317961450078325,20.127488802426313,20.661157024793386,0.03020368265866292
0.712,0.2052847300294808,20.10541996341921,20.661157024793386,0.01774397292585672
0.728,0.14211222890508077,19.82587486201706,20.661157024793386,0.010075801731680685
0.745,0.12023570919034525,19.96784527734481,20.661157024793386,0.006774791507281998
0.762,0.10802654867684525,20.058226468434086,20.661157024793386,0.005075353630183123
0.778,0.08483646625439277,19.84291775576973,20.661157024793386,0.0036737833370792845
0.794,0.0746975936764035,19.95922637416909,20.661157024793386,0.002699105590095468
0.811,0.06729388039533828,20.03698020194356,20.661157024793386,0.0019443972287929315
