timestamp,voltage
2026-03-17T03:19:59.161544,0.0
2026-03-17T03:19:59.161617,0.0
2026-03-17T03:19:59.202603,0.0
2026-03-17T03:19:59.246028,0.009
2026-03-17T03:19:59.246096,0.039
2026-03-17T03:19:59.246144,0.094
2026-03-17T03:19:59.246174,0.116
2026-03-17T03:19:59.246220,0.116
2026-03-17T03:19:59.252344,0.112
2026-03-17T03:19:59.252382,0.106
2026-03-17T03:19:59.252402,0.078
2026-03-17T03:19:59.252421,0.027
2026-03-17T03:19:59.252439,0.0
2026-03-17T03:19:59.252456,0.0
2026-03-17T03:19:59.252473,0.0
2026-03-17T03:19:59.252490,0.0
2026-03-17T03:19:59.252540,0.0
2026-03-17T03:19:59.252629,0.0
2026-03-17T03:19:59.252699,0.0
2026-03-17T03:19:59.252772,0.0
2026-03-17T03:19:59.252816,0.0
2026-03-17T03:19:59.252882,0.0
2026-03-17T03:19:59.253003,0.0
2026-03-17T03:19:59.253033,0.012
2026-03-17T03:19:59.253069,0.077
2026-03-17T03:19:59.253132,0.102
2026-03-17T03:19:59.253164,0.121
2026-03-17T03:19:59.253220,0.115
2026-03-17T03:19:59.253277,0.106
2026-03-17T03:19:59.253318,0.102
2026-03-17T03:19:59.253356,0.083
2026-03-17T03:19:59.253389,0.036
2026-03-17T03:19:59.253454,0.0
2026-03-17T03:19:59.253576,0.0
2026-03-17T03:19:59.253620,0.0
2026-03-17T03:19:59.253638,0.0
2026-03-17T03:19:59.253810,0.0
2026-03-17T03:19:59.253850,0.0
2026-03-17T03:19:59.253885,0.0
2026-03-17T03:19:59.253912,0.0
2026-03-17T03:19:59.253934,0.0
2026-03-17T03:19:59.253960,0.0
2026-03-17T03:19:59.253982,0.0
2026-03-17T03:19:59.254007,0.013
2026-03-17T03:19:59.254045,0.05
2026-03-17T03:19:59.254104,0.111
2026-03-17T03:19:59.254169,0.137
2026-03-17T03:19:59.254215,0.082
2026-03-17T03:19:59.254381,0.105
2026-03-17T03:19:59.254409,0.126
2026-03-17T03:19:59.254673,0.081
2026-03-17T03:19:59.254721,0.018
2026-03-17T03:19:59.254977,0.0
2026-03-17T03:19:59.255071,0.0
2026-03-17T03:19:59.255131,0.0
2026-03-17T03:19:59.255957,0.0
2026-03-17T03:19:59.256038,0.0
2026-03-17T03:19:59.258899,0.0
2026-03-17T03:19:59.259069,0.0
2026-03-17T03:19:59.259097,0.0
