timestamp,CH1,CH2,CH3,CH4
2026-03-31T00:08:13.592415,0.01,0.0,0.0,0.127
2026-03-31T00:08:13.638313,0.013,0.0,0.0,0.125
2026-03-31T00:08:13.656470,0.012,0.0,0.0,0.128
2026-03-31T00:08:13.656553,0.009,0.0,0.0,0.127
2026-03-31T00:08:13.656607,0.015,0.0,0.0,0.124
2026-03-31T00:08:13.656660,0.013,0.0,0.0,0.121
2026-03-31T00:08:13.656787,0.009,0.0,0.0,0.123
2026-03-31T00:08:13.656865,0.015,0.0,0.0,0.122
2026-03-31T00:08:13.656971,0.013,0.0,0.0,0.123
2026-03-31T00:08:13.670723,0.013,0.0,0.0,0.122
2026-03-31T00:08:13.670978,0.025,0.0,0.0,0.116
2026-03-31T00:08:13.671360,0.013,0.0,0.0,0.124
2026-03-31T00:08:13.671435,0.004,0.0,0.0,0.123
2026-03-31T00:08:13.671720,0.002,0.0,0.0,0.12
2026-03-31T00:08:13.671800,0.019,0.0,0.0,0.116
2026-03-31T00:08:13.671984,0.003,0.0,0.0,0.119
2026-03-31T00:08:13.672198,0.014,0.0,0.0,0.118
2026-03-31T00:08:13.672264,0.027,0.0,0.0,0.116
2026-03-31T00:08:13.672422,0.013,0.0,0.0,0.118
2026-03-31T00:08:13.672497,0.012,0.0,0.0,0.121
2026-03-31T00:08:13.672559,0.022,0.0,0.0,0.117
2026-03-31T00:08:13.672636,0.034,0.0,0.0,0.117
2026-03-31T00:08:13.672740,0.011,0.0,0.0,0.104
2026-03-31T00:08:13.672819,0.01,0.0,0.0,0.118
2026-03-31T00:08:13.672889,0.0,0.0,0.0,0.117
2026-03-31T00:08:13.672952,0.014,0.0,0.0,0.118
2026-03-31T00:08:13.673010,0.016,0.0,0.0,0.119
2026-03-31T00:08:13.673067,0.013,0.0,0.0,0.123
2026-03-31T00:08:13.673133,0.015,0.0,0.0,0.123
2026-03-31T00:08:13.673197,0.014,0.0,0.0,0.121
2026-03-31T00:08:13.673256,0.015,0.0,0.0,0.116
2026-03-31T00:08:13.673313,0.02,0.0,0.0,0.116
2026-03-31T00:08:13.673369,0.023,0.0,0.0,0.112
2026-03-31T00:08:13.673420,0.019,0.0,0.0,0.116
2026-03-31T00:08:13.673472,0.015,0.0,0.0,0.116
2026-03-31T00:08:13.673525,0.015,0.0,0.0,0.116
2026-03-31T00:08:13.673574,0.015,0.0,0.0,0.118
2026-03-31T00:08:13.673624,0.015,0.0,0.0,0.116
2026-03-31T00:08:13.673675,0.015,0.0,0.0,0.114
2026-03-31T00:08:13.673729,0.013,0.0,0.0,0.121
2026-03-31T00:08:13.673778,0.014,0.0,0.0,0.116
2026-03-31T00:08:13.673829,0.017,0.0,0.0,0.116
2026-03-31T00:08:13.673879,0.017,0.0,0.0,0.116
2026-03-31T00:08:13.673927,0.021,0.0,0.0,0.116
2026-03-31T00:08:13.673982,0.019,0.0,0.0,0.116
2026-03-31T00:08:13.674038,0.019,0.0,0.0,0.115
2026-03-31T00:08:13.674099,0.017,0.0,0.0,0.103
2026-03-31T00:08:13.674153,0.018,0.0,0.0,0.121
2026-03-31T00:08:13.674211,0.019,0.0,0.0,0.115
2026-03-31T00:08:13.674265,0.018,0.0,0.0,0.116
2026-03-31T00:08:13.674320,0.012,0.0,0.0,0.116
2026-03-31T00:08:13.674369,0.022,0.0,0.0,0.118
2026-03-31T00:08:13.674417,0.026,0.0,0.0,0.121
2026-03-31T00:08:13.674465,0.023,0.0,0.0,0.126
2026-03-31T00:08:13.674512,0.028,0.0,0.0,0.121
2026-03-31T00:08:13.674560,0.024,0.0,0.0,0.122
2026-03-31T00:08:13.674608,0.029,0.0,0.0,0.124
2026-03-31T00:08:13.674656,0.025,0.0,0.0,0.118
2026-03-31T00:08:13.674705,0.023,0.0,0.0,0.127
2026-03-31T00:08:13.674753,0.027,0.0,0.0,0.125
2026-03-31T00:08:13.674804,0.038,0.0,0.0,0.124
2026-03-31T00:08:13.674852,0.027,0.0,0.0,0.127
2026-03-31T00:08:13.677478,0.034,0.0,0.0,0.123
2026-03-31T00:08:13.677578,0.037,0.0,0.0,0.123
2026-03-31T00:08:13.680391,0.036,0.0,0.0,0.125
2026-03-31T00:08:13.683050,0.039,0.0,0.0,0.121
2026-03-31T00:08:13.685854,0.034,0.0,0.0,0.119
2026-03-31T00:08:13.685934,0.05,0.0,0.0,0.127
2026-03-31T00:08:13.688729,0.048,0.0,0.0,0.13
2026-03-31T00:08:13.691333,0.048,0.0,0.0,0.118
2026-03-31T00:08:13.694048,0.05,0.0,0.0,0.15
2026-03-31T00:08:13.696798,0.053,0.0,0.0,0.139
2026-03-31T00:08:13.696873,0.054,0.0,0.0,0.107
2026-03-31T00:08:13.699588,0.055,0.0,0.0,0.138
2026-03-31T00:08:13.702378,0.053,0.0,0.0,0.133
2026-03-31T00:08:13.705108,0.062,0.0,0.0,0.134
2026-03-31T00:08:13.705167,0.057,0.0,0.0,0.132
2026-03-31T00:08:13.707862,0.064,0.0,0.0,0.129
2026-03-31T00:08:13.710612,0.063,0.0,0.0,0.142
2026-03-31T00:08:13.713389,0.06,0.0,0.0,0.135
2026-03-31T00:08:13.716112,0.063,0.0,0.0,0.133
2026-03-31T00:08:13.716183,0.064,0.0,0.0,0.133
2026-03-31T00:08:13.718873,0.064,0.0,0.0,0.138
2026-03-31T00:08:13.721675,0.076,0.0,0.0,0.131
2026-03-31T00:08:13.724390,0.073,0.0,0.0,0.128
2026-03-31T00:08:13.724446,0.078,0.0,0.0,0.137
2026-03-31T00:08:13.727172,0.079,0.0,0.0,0.129
2026-03-31T00:08:13.729933,0.078,0.0,0.0,0.134
2026-03-31T00:08:13.738116,0.081,0.0,0.0,0.133
2026-03-31T00:08:13.738198,0.081,0.0,0.0,0.139
2026-03-31T00:08:13.738253,0.077,0.0,0.0,0.135
2026-03-31T00:08:13.738312,0.089,0.0,0.0,0.14
2026-03-31T00:08:13.742602,0.089,0.0,0.0,0.139
2026-03-31T00:08:13.747780,0.089,0.0,0.0,0.136
2026-03-31T00:08:13.749398,0.092,0.0,0.0,0.137
2026-03-31T00:08:13.754404,0.091,0.0,0.0,0.129
2026-03-31T00:08:13.757870,0.092,0.0,0.0,0.143
2026-03-31T00:08:13.758151,0.088,0.0,0.0,0.141
2026-03-31T00:08:13.758323,0.094,0.0,0.0,0.139
2026-03-31T00:08:13.758400,0.103,0.0,0.0,0.137
2026-03-31T00:08:13.758478,0.101,0.0,0.0,0.141
2026-03-31T00:08:13.761115,0.104,0.0,0.0,0.142
2026-03-31T00:08:13.763192,0.105,0.0,0.0,0.121
2026-03-31T00:08:13.765777,0.107,0.0,0.0,0.151
2026-03-31T00:08:13.765894,0.114,0.0,0.0,0.151
2026-03-31T00:08:13.768595,0.111,0.0,0.0,0.156
2026-03-31T00:08:13.771319,0.126,0.0,0.0,0.156
2026-03-31T00:08:13.774144,0.127,0.0,0.0,0.159
2026-03-31T00:08:13.774210,0.127,0.0,0.0,0.164
2026-03-31T00:08:13.776870,0.125,0.0,0.0,0.168
2026-03-31T00:08:13.779640,0.105,0.0,0.0,0.166
2026-03-31T00:08:13.782399,0.126,0.0,0.0,0.168
2026-03-31T00:08:13.785116,0.13,0.0,0.0,0.166
2026-03-31T00:08:13.785218,0.127,0.0,0.0,0.168
2026-03-31T00:08:13.788081,0.143,0.0,0.0,0.17
2026-03-31T00:08:13.790709,0.139,0.0,0.0,0.167
2026-03-31T00:08:13.793477,0.147,0.0,0.0,0.168
2026-03-31T00:08:13.793561,0.147,0.0,0.0,0.162
2026-03-31T00:08:13.796269,0.142,0.0,0.0,0.158
2026-03-31T00:08:13.798991,0.142,0.0,0.0,0.169
2026-03-31T00:08:13.801712,0.15,0.0,0.0,0.168
2026-03-31T00:08:13.804441,0.156,0.0,0.0,0.172
2026-03-31T00:08:13.804506,0.156,0.0,0.0,0.169
2026-03-31T00:08:13.807230,0.161,0.0,0.0,0.171
2026-03-31T00:08:13.810034,0.157,0.0,0.0,0.173
2026-03-31T00:08:13.812751,0.16,0.0,0.0,0.17
2026-03-31T00:08:13.818199,0.163,0.0,0.0,0.172
2026-03-31T00:08:13.818359,0.163,0.0,0.0,0.169
2026-03-31T00:08:13.818436,0.165,0.0,0.0,0.172
2026-03-31T00:08:13.821015,0.163,0.0,0.0,0.17
2026-03-31T00:08:13.823824,0.173,0.0,0.0,0.178
2026-03-31T00:08:13.823891,0.173,0.0,0.0,0.176
2026-03-31T00:08:13.826692,0.175,0.0,0.0,0.181
2026-03-31T00:08:13.829405,0.176,0.0,0.0,0.179
2026-03-31T00:08:13.832044,0.175,0.0,0.0,0.182
2026-03-31T00:08:13.834848,0.182,0.0,0.0,0.184
2026-03-31T00:08:13.834916,0.184,0.0,0.0,0.181
2026-03-31T00:08:13.837687,0.181,0.0,0.0,0.185
2026-03-31T00:08:13.840330,0.193,0.0,0.0,0.188
2026-03-31T00:08:13.843082,0.203,0.0,0.0,0.193
2026-03-31T00:08:13.843171,0.191,0.0,0.0,0.193
2026-03-31T00:08:13.845956,0.185,0.0,0.0,0.19
2026-03-31T00:08:13.848785,0.192,0.0,0.0,0.197
2026-03-31T00:08:13.851467,0.194,0.0,0.0,0.193
2026-03-31T00:08:13.854148,0.199,0.0,0.0,0.193
2026-03-31T00:08:13.854234,0.197,0.0,0.0,0.205
2026-03-31T00:08:13.857075,0.204,0.0,0.0,0.205
2026-03-31T00:08:13.859646,0.2,0.0,0.0,0.206
2026-03-31T00:08:13.862486,0.203,0.0,0.0,0.206
2026-03-31T00:08:13.862565,0.203,0.0,0.0,0.207
2026-03-31T00:08:13.865335,0.202,0.0,0.0,0.205
2026-03-31T00:08:13.868010,0.205,0.0,0.0,0.208
2026-03-31T00:08:13.870712,0.201,0.0,0.0,0.203
2026-03-31T00:08:13.873431,0.211,0.0,0.0,0.214
2026-03-31T00:08:13.873506,0.207,0.0,0.0,0.205
2026-03-31T00:08:13.876291,0.211,0.0,0.0,0.208
2026-03-31T00:08:13.879022,0.213,0.0,0.0,0.207
2026-03-31T00:08:13.881856,0.214,0.0,0.0,0.209
2026-03-31T00:08:13.884510,0.215,0.0,0.0,0.215
2026-03-31T00:08:13.884606,0.219,0.0,0.0,0.216
2026-03-31T00:08:13.887471,0.217,0.0,0.0,0.213
2026-03-31T00:08:13.890211,0.214,0.0,0.0,0.219
2026-03-31T00:08:13.892874,0.215,0.0,0.0,0.215
2026-03-31T00:08:13.892953,0.212,0.0,0.0,0.218
2026-03-31T00:08:13.895638,0.217,0.0,0.0,0.218
2026-03-31T00:08:13.898491,0.229,0.0,0.0,0.216
2026-03-31T00:08:13.901157,0.218,0.0,0.0,0.216
2026-03-31T00:08:13.903800,0.218,0.0,0.0,0.215
2026-03-31T00:08:13.903891,0.219,0.0,0.0,0.215
2026-03-31T00:08:13.906635,0.215,0.0,0.0,0.22
2026-03-31T00:08:13.909388,0.219,0.0,0.0,0.219
2026-03-31T00:08:13.912138,0.219,0.0,0.0,0.219
2026-03-31T00:08:13.912224,0.219,0.0,0.0,0.213
2026-03-31T00:08:13.915032,0.215,0.0,0.0,0.221
2026-03-31T00:08:13.918109,0.217,0.0,0.0,0.224
2026-03-31T00:08:13.920428,0.219,0.0,0.0,0.222
2026-03-31T00:08:13.923145,0.214,0.0,0.0,0.234
2026-03-31T00:08:13.923222,0.214,0.0,0.0,0.225
2026-03-31T00:08:13.926197,0.214,0.0,0.0,0.227
2026-03-31T00:08:13.928823,0.214,0.0,0.0,0.225
2026-03-31T00:08:13.931405,0.215,0.0,0.0,0.222
2026-03-31T00:08:13.931490,0.209,0.0,0.0,0.223
2026-03-31T00:08:13.934250,0.207,0.0,0.0,0.222
2026-03-31T00:08:13.937005,0.208,0.0,0.0,0.224
2026-03-31T00:08:13.939780,0.209,0.0,0.0,0.235
2026-03-31T00:08:13.942457,0.206,0.0,0.0,0.244
2026-03-31T00:08:13.942540,0.209,0.0,0.0,0.255
2026-03-31T00:08:13.945349,0.207,0.0,0.0,0.234
2026-03-31T00:08:13.948013,0.21,0.0,0.0,0.233
2026-03-31T00:08:13.950844,0.207,0.0,0.0,0.217
2026-03-31T00:08:13.953593,0.208,0.0,0.0,0.234
2026-03-31T00:08:13.953693,0.206,0.0,0.0,0.262
2026-03-31T00:08:13.956331,0.201,0.0,0.0,0.235
2026-03-31T00:08:13.959008,0.205,0.0,0.0,0.236
