Time (s),Sensor Value
0.0,12.5
0.005001000200040008,8.75
0.010002000400080016,8.75
0.015003000600120026,8.75
0.020004000800160033,8.75
0.02500500100020004,11.5
0.03000600120024005,11.5
0.035007001400280055,11.5
0.040008001600320066,11.5
0.04500900180036008,13.5
0.05001000200040008,13.5
0.05501100220044009,13.5
0.0600120024004801,13.5
0.0650130026005201,14.5
0.07001400280056011,14.5
0.07501500300060013,14.5
0.08001600320064013,14.5
0.08501700340068014,9.25
0.09001800360072015,9.25
0.09501900380076016,9.25
0.10002000400080016,9.25
0.10502100420084018,7.0
0.11002200440088018,7.0
0.11502300460092019,7.0
0.1200240048009602,7.0
0.1250250050010002,18.0
0.1300260052010402,18.0
0.13502700540108023,18.0
0.14002800560112022,18.0
0.14502900580116024,16.5
0.15003000600120026,16.5
0.15503100620124025,16.5
0.16003200640128026,16.5
0.16503300660132028,7.5
0.17003400680136027,7.5
0.1750350070014003,7.5
0.1800360072014403,7.5
0.1850370074014803,9.75
0.19003800760152031,9.75
0.19503900780156033,9.75
0.20004000800160032,9.75
0.20504100820164034,14.75
0.21004200840168036,14.75
0.21504300860172035,14.75
0.22004400880176037,14.75
0.22504500900180038,15.75
0.23004600920184037,16.5
0.2350470094018804,16.5
0.2400480096019204,16.5
0.2450490098019604,11.5
0.2500500100020004,14.0
0.2550510102020404,14.0
0.2600520104020804,14.0
0.26505301060212044,11.5
0.27005401080216046,8.25
0.2750550110022005,8.25
0.28005601120224044,8.25
0.28505701140228046,8.75
0.2900580116023205,8.75
0.2950590118023605,8.75
0.3000600120024005,8.75
0.30506101220244053,18.5
0.3100620124024805,18.5
0.3150630126025205,18.5
0.3200640128025605,18.5
0.32506501300260054,4.5
0.33006601320264056,7.25
0.3350670134026805,7.25
0.34006801360272054,7.25
0.34506901380276056,12.5
0.3500700140028006,9.75
0.3550710142028406,9.75
0.3600720144028806,9.75
0.3650730146029206,8.5
0.3700740148029606,8.5
0.3750750150030006,8.5
0.38007601520304063,8.5
0.38507701540308065,14.25
0.39007801560312066,14.25
0.3950790158031606,14.25
0.40008001600320064,14.25
0.40508101620324066,11.75
0.4100820164032807,11.75
0.4150830166033207,11.75
0.4200840168033607,11.75
0.4250850170034007,8.0
0.4300860172034407,8.0
0.4350870174034807,8.0
0.44008801760352073,8.0
0.44508901780356075,9.5
0.45009001800360077,9.5
0.45509101820364073,9.5
0.46009201840368075,9.5
0.46509301860372076,12.75
0.4700940188037608,12.75
0.4750950190038008,12.75
0.4800960192038408,12.75
0.4850970194038808,12.0
0.4900980196039208,12.0
0.4950990198039608,12.0
0.5001000200040008,12.0
0.5051010202040408,6.75
0.5101020204040808,6.75
0.5151030206041208,6.75
0.5201040208041608,6.75
0.5251050210042009,8.0
0.5301060212042409,13.25
0.5351070214042809,13.25
0.5401080216043209,13.25
0.5451090218043609,5.25
0.550110022004401,0.0
0.5551110222044409,0.0
0.5601120224044809,0.0
0.5651130226045209,8.25
0.5701140228045609,8.25
0.5751150230046009,8.25
0.580116023204641,8.25
0.585117023404681,0.25
0.590118023604721,0.25
0.595119023804761,0.25
0.600120024004801,0.25
0.605121024204841,11.25
0.6101220244048811,11.25
0.615123024604921,11.25
0.620124024804961,11.25
0.625125025005001,19.75
0.630126025205041,23.0
0.635127025405081,23.0
0.640128025605121,23.0
0.6451290258051611,15.25
0.6501300260052011,12.0
0.6551310262052411,12.0
0.6601320264052811,12.0
0.6651330266053211,6.0
0.670134026805361,6.0
0.6751350270054011,6.0
0.6801360272054411,6.0
0.6851370274054811,12.5
0.6901380276055211,18.75
0.6951390278055611,18.75
0.7001400280056012,18.75
0.7051410282056412,24.25
0.7101420284056812,22.0
0.7151430286057212,22.0
