Time (s),Sensor Value
0.0,288.25
0.005001000200040008,288.25
0.010002000400080016,288.25
0.015003000600120026,288.25
0.020004000800160033,288.25
0.02500500100020004,288.25
0.03000600120024005,288.25
0.035007001400280055,288.25
0.040008001600320066,288.25
0.04500900180036008,288.25
0.05001000200040008,288.25
0.05501100220044009,288.25
0.0600120024004801,288.25
0.0650130026005201,288.25
0.07001400280056011,288.25
0.07501500300060013,288.25
0.08001600320064013,288.25
0.08501700340068014,288.25
0.09001800360072015,288.25
0.09501900380076016,288.25
0.10002000400080016,288.25
0.10502100420084018,288.25
0.11002200440088018,288.25
0.11502300460092019,288.25
0.1200240048009602,288.25
0.1250250050010002,288.25
0.1300260052010402,288.25
0.13502700540108023,288.25
0.14002800560112022,288.25
0.14502900580116024,288.25
0.15003000600120026,288.25
0.15503100620124025,288.25
0.16003200640128026,288.25
0.16503300660132028,288.25
0.17003400680136027,288.25
0.1750350070014003,288.25
0.1800360072014403,288.25
0.1850370074014803,288.25
0.19003800760152031,288.25
0.19503900780156033,288.25
0.20004000800160032,288.25
0.20504100820164034,288.25
0.21004200840168036,288.25
0.21504300860172035,288.25
0.22004400880176037,288.25
0.22504500900180038,288.25
0.23004600920184037,288.25
0.2350470094018804,288.25
0.2400480096019204,299.5
0.2450490098019604,299.5
0.2500500100020004,299.5
0.2550510102020404,299.5
0.2600520104020804,299.5
0.26505301060212044,299.5
0.27005401080216046,299.5
0.2750550110022005,299.5
0.28005601120224044,299.5
0.28505701140228046,299.5
0.2900580116023205,299.5
0.2950590118023605,299.5
0.3000600120024005,299.5
0.30506101220244053,299.5
0.3100620124024805,299.5
0.3150630126025205,299.5
0.3200640128025605,299.5
0.32506501300260054,299.5
0.33006601320264056,299.5
0.3350670134026805,299.5
0.34006801360272054,299.5
0.34506901380276056,299.5
0.3500700140028006,299.5
0.3550710142028406,299.5
0.3600720144028806,299.5
0.3650730146029206,299.5
0.3700740148029606,299.5
0.3750750150030006,299.5
0.38007601520304063,299.5
0.38507701540308065,299.5
0.39007801560312066,299.5
0.3950790158031606,299.5
0.40008001600320064,299.5
0.40508101620324066,299.5
0.4100820164032807,299.5
0.4150830166033207,299.5
0.4200840168033607,299.5
0.4250850170034007,299.5
0.4300860172034407,299.5
0.4350870174034807,299.5
0.44008801760352073,299.5
0.44508901780356075,299.5
0.45009001800360077,299.5
0.45509101820364073,299.5
0.46009201840368075,299.5
0.46509301860372076,299.5
0.4700940188037608,299.5
